Text,Label
"Selling a Honda Civic 2008 for parts. The car is not running and has engine damage. Message me if interested.", 1
"Prodavam Opel Astra za delovi. Kolata ima problemi so motorot i ne e vozliva.", 1
"Продавам Фолксваген Пасат за делови. Колата има удари на шасијата и моторот не работи.", 1
"Toyota Corolla for parts only. Front-end damage from an accident. Engine and transmission are intact.", 1
"Kolata e crashnata, Golf 4 za delovi. Cena po dogovor.", 1
"Се продава Audi A4 за делови. Колата има оштетувања од сообраќајка.", 1
"Damaged BMW X5 for parts. Rear-end collision, some body panels and the engine are still good.", 1
"Mazda 6 na prodazhba za delovi. Zadniot del e udaren, motorot e vo red.", 1
"Продавам Renault Megane. Има сериозни механички проблеми и се продава само за делови.", 1
"Selling a Jeep Grand Cherokee for parts. Vehicle is not drivable due to transmission failure.", 1
"Selling a damaged Ford Fiesta for parts. Engine and gearbox are broken.", 1
"Продавам BMW E46 за делови. Колата има оштетувања на предниот дел.", 1
"Toyota Yaris for sale, only for parts. The car is not drivable.", 1
"Prodavam Nissan Qashqai za delovi. Motorot e komplet neispraven.", 1
"Damaged VW Golf 6, selling as parts only. Rear axle is broken.", 1
"Се продава Opel Corsa. Колата е удрена и се продава само за делови.", 1
"Chevrolet Cruze for parts. The vehicle has severe water damage.", 1
"Kolata e totalno udarena, Citroen C4 za delovi.", 1
"Продавам Skoda Octavia. Моторот не работи, се продава за делови.", 1
"Honda Accord for sale as parts. The car has a broken transmission.", 1
"Prodavam Ford Mondeo za delovi. Kolata ima problemi so zadnata oska.", 1
"Selling a Peugeot 206 for parts. Accident damage to the front end.", 1
"Се продава Hyundai Elantra за делови. Колата не пали.", 1
"Damaged Kia Sportage, selling for parts only. The engine is seized.", 1
"Kolata ima ognoshte, Renault Clio za delovi.", 1
"Продавам Mazda 3. Удриена во сообраќајка, само за делови.", 1
"Selling a Volvo S60 for parts. Significant damage to the rear end.", 1
"Prodavam Audi Q7 za delovi. Sistemot na kocenje ne funkcionira.", 1
"Chevrolet Aveo for parts. Electrical issues make it undrivable.", 1
"Се продава Dacia Duster за делови. Колата е сериозно оштетена.", 1
"Damaged Subaru Forester for sale as parts. Suspension is ruined.", 1
"Prodavam Suzuki Swift za delovi. Motorot e vo losa sostojba.", 1
"Продавам Fiat Punto. Предниот дел е скршен, се продава за делови.", 1
"Selling a Mercedes-Benz C-Class for parts. Front-end collision damage.", 1
"Kolata ima problem so elektrika, VW Passat za delovi.", 1
"Се продава Honda Civic. Моторот не работи, продавање само за делови.", 1
"Damaged Jeep Wrangler, selling for parts only. Rear axle is bent.", 1
"Prodavam Kia Rio za delovi. Zadniot del e totalno skrsen.", 1
"Продавам Nissan Micra. Има проблеми со моторот, само за делови.", 1
"Selling a Toyota Hilux for parts. The chassis is heavily corroded.", 1
"Kolata ima mnogu udari, Skoda Fabia za delovi.", 1
"Се продава Peugeot 307. Задниот дел е тотално уништен.", 1
"Damaged Ford Ranger, selling as parts only. Engine has severe wear.", 1
"Prodavam Hyundai i30 za delovi. Kolata ne e vo vozna sostojba.", 1
"Продавам Chevrolet Spark. Има проблеми со електрониката.", 1
"Selling a Mazda CX-5 for parts. The transmission has failed.", 1
"Kolata ne pali, Opel Astra za delovi.", 1
"Се продава Mitsubishi Lancer за делови. Предниот дел е оштетен.", 1
"Damaged VW Tiguan for parts. The suspension and drivetrain are broken.", 1
"Prodavam Citroen C3 za delovi. Ima problemi so motorot.", 1
"Продавам Renault Laguna. Колата е удрена од страна.", 1
"Selling a Suzuki Vitara for parts. Accident damage to the front axle.", 1
"Kolata e serizno osteena, Peugeot 208 za delovi.", 1
"Се продава Audi A6 за делови. Моторот и менувачот се оштетени.", 1
"Damaged Honda Fit for parts. The car is not roadworthy.", 1
"Prodavam Fiat Bravo za delovi. Problemi so elektronika.", 1
"Продавам Toyota Prius. Колата е удрена од задната страна.", 1
"Selling a Nissan Juke for parts. The engine has a cracked block.", 1
"Kolata ima mnogu problemi, Skoda Rapid za delovi.", 1
"Се продава Volvo XC60 за делови. Колата не е во возна состојба.", 1
"Damaged Ford Focus, selling as parts only. Front suspension is ruined.", 1
"Prodavam Mazda 2 za delovi. Kolata ima problem so kocenjeto.", 1
"Продавам Hyundai Santa Fe. Има сериозни оштетувања на моторот.", 1
"Selling a Jeep Compass for parts. The car has severe hail damage.", 1
"Kolata e totalno nevoziva, Citroen Berlingo za delovi.", 1
"Се продава Opel Insignia. Моторот е сериозно оштетен.", 1
"Damaged VW Polo for sale as parts. Front bumper and radiator damaged.", 1
"Prodavam Renault Kadjar za delovi. Zadniot del e vo losa sostojba.", 1
"Продавам Chevrolet Malibu. Колата не пали и се продава за делови.", 1
"Selling a Subaru Outback for parts. Front-end accident damage.", 1
"Kolata ne e vo funkcija, Toyota Auris za delovi.", 1
"Се продава Honda HR-V за делови. Задниот дел е скршен.", 1
"Damaged Kia Optima, selling for parts only. Electrical system failure.", 1
"Prodavam VW Passat B7 za delovi. Motorot ne raboti.", 1
"Продавам Nissan X-Trail. Има механички оштетувања.", 1
"Selling a Toyota Land Cruiser for parts. Rear differential is broken.", 1
"Kolata e udarena, Skoda Superb za delovi.", 1
"Се продава Peugeot Partner. Колата има проблеми со моторот.", 1
"Damaged Audi A3 for parts. Transmission and clutch are not working.", 1
"Prodavam Fiat Doblo za delovi. Predniot del e osteen.", 1
"Продавам Mitsubishi ASX. Колата не е во возна состојба.", 1
"Selling a Honda CR-V for parts. Major rust damage to the body.", 1
"Kolata ima problem so sistemot na gorivo, Renault Scenic za delovi.", 1
"Се продава VW Golf 5 за делови. Задниот дел е целосно оштетен.", 1
"Damaged Ford Ecosport, selling as parts only. Engine is seized.", 1
"Prodavam Nissan Navara za delovi. Ima problemi so menjacot.", 1
"Продавам Suzuki Alto. Моторот е скршен и не работи.", 1
"Selling a Chevrolet Trailblazer for parts. Accident damage to the front.", 1
"Kolata e nevoziva, Opel Zafira za delovi.", 1
"Се продава Skoda Kodiaq за делови. Колата има оштетувања на моторот.", 1
"Damaged VW Touran for sale as parts. Transmission is completely broken.", 1
"Prodavam Citroen DS3 za delovi. Ima problemi so sistemot za kocenje.", 1
"Продавам Renault Captur. Задниот дел е удрен.", 1
"Selling a Toyota Tacoma for parts. Severe frame rust.", 1
"Kolata ima ognoshte, Peugeot 2008 za delovi.", 1
"Се продава Audi TT за делови. Колата не пали.", 1
"Damaged Jeep Liberty for parts. Front differential is broken.", 1
"Prodavam Fiat Panda za delovi. Kolata ima problemi so elektrika.", 1
"Продавам Hyundai Tucson. Има проблеми со моторот и не е возна.", 1
"Selling a perfectly working Honda Civic 2010. No issues at all.", 0
"Prodavam Opel Astra vo odlichna sostojba. Se e ispravno.", 0
"Продавам Фолксваген Пасат. Колата е во одлична состојба.", 0
"Toyota Corolla for sale, everything works perfectly.", 0
"Kolata e vo super sostojba, Golf 5, motor i menjach top.", 0
"Се продава Audi A4. Се е во ред и колата е подготвена за возење.", 0
"Chevrolet Cruze, fully functional and ready to drive.", 0
"Kolata e ispravna, Citroen C4 vo top sostojba.", 0
"Продавам Skoda Octavia. Се е исправно, нема никакви проблеми.", 0
"Honda Accord, no issues, runs perfectly.", 0
"Prodavam Ford Mondeo. Kolata e vo ispravna sostojba, motor odlichen.", 0
